x,y,spreed,lobo,time
8,8,1,6,0
-15,21,1,22,0
-22,-18,1,15,0
-14,0,1,7,0
-3,24,1,29,0
-18,23,1,5,0
16,24,1,27,0
-24,-1,1,21,0
-26,-18,1,12,0
10,-5,1,24,0
13,-4,1,16,0
-10,-11,1,20,0
21,-12,1,8,0
-18,-16,1,2,0
-11,-6,1,4,0
10,-17,1,18,0
24,-8,1,14,0
-22,-22,1,23,0
1,6,1,11,0
-15,-2,1,1,0
5,-17,1,26,0
18,18,1,19,0
10,8,1,25,0
13,-18,1,17,0
-11,-4,1,10,0
15,-13,1,0,0
15,-13,1,9,0
-4,11,1,28,0
-24,14,1,13,0
14,16,1,3,0
-23,14,1,13,1
1,6,1,11,1
15,23,1,27,1
16,-14,1,9,1
-25,-18,1,12,1
17,18,1,19,1
-24,0,1,21,1
23,-9,1,14,1
-16,-1,1,1,1
12,-18,1,17,1
-23,-19,1,15,1
14,16,1,3,1
9,-18,1,18,1
21,-11,1,8,1
10,-4,1,24,1
-11,-5,1,4,1
-3,11,1,28,1
-23,-23,1,23,1
-12,-5,1,10,1
-13,-1,1,7,1
-16,21,1,22,1
-17,-16,1,2,1
11,9,1,25,1
-18,23,1,5,1
15,-14,1,0,1
8,7,1,6,1
13,-3,1,16,1
6,-17,1,26,1
-10,-10,1,20,1
-3,24,1,29,1
21,-10,1,8,2
-2,25,1,29,2
7,-17,1,26,2
-13,-2,1,7,2
11,-18,1,17,2
11,-3,1,24,2
14,-3,1,16,2
-24,-19,1,15,2
11,9,1,25,2
-24,-18,1,12,2
-16,0,1,1,2
-24,1,1,21,2
14,23,1,27,2
16,-14,1,0,2
0,5,1,11,2
22,-9,1,14,2
-17,23,1,5,2
-17,21,1,22,2
16,17,1,19,2
9,-19,1,18,2
-11,-4,1,4,2
-22,14,1,13,2
16,-14,1,9,2
-10,-9,1,20,2
8,6,1,6,2
-16,-16,1,2,2
14,17,1,3,2
-23,-23,1,23,2
-13,-5,1,10,2
-3,12,1,28,2
21,-9,1,8,3
-24,-24,1,23,3
-1,4,1,11,3
15,17,1,19,3
-21,13,1,13,3
-16,23,1,5,3
-9,-8,1,20,3
-23,-19,1,12,3
8,-17,1,26,3
13,23,1,27,3
9,-20,1,18,3
-17,21,1,22,3
-14,-5,1,10,3
12,-3,1,24,3
17,-14,1,0,3
-16,1,1,1,3
-25,-19,1,15,3
12,9,1,25,3
14,18,1,3,3
-2,24,1,29,3
-16,-17,1,2,3
-11,-3,1,4,3
17,-15,1,9,3
-2,12,1,28,3
-12,-3,1,7,3
21,-10,1,14,3
10,-18,1,17,3
9,5,1,6,3
15,-2,1,16,3
-24,2,1,21,3
-9,-7,1,20,4
21,-8,1,8,4
-23,-20,1,12,4
18,-16,1,9,4
-15,-5,1,10,4
-15,-17,1,2,4
13,8,1,25,4
15,16,1,19,4
13,-2,1,24,4
-25,-25,1,23,4
-18,22,1,22,4
15,-1,1,16,4
14,19,1,3,4
-16,2,1,1,4
-21,12,1,13,4
9,-21,1,18,4
20,-10,1,14,4
-23,3,1,21,4
-2,23,1,29,4
-15,22,1,5,4
-26,-19,1,15,4
12,23,1,27,4
-2,4,1,11,4
-12,-3,1,7,4
18,-14,1,0,4
10,5,1,6,4
9,-17,1,26,4
-1,13,1,28,4
9,-18,1,17,4
-11,-2,1,4,4
8,-22,1,18,5
-21,11,1,13,5
-12,-4,1,7,5
19,-16,1,9,5
-15,3,1,1,5
14,16,1,19,5
-16,-5,1,10,5
14,20,1,3,5
14,-2,1,24,5
14,8,1,25,5
11,23,1,27,5
-26,-25,1,23,5
-19,22,1,22,5
15,0,1,16,5
9,-17,1,26,5
-9,-6,1,20,5
-3,22,1,29,5
9,-19,1,17,5
-25,-20,1,15,5
-15,21,1,5,5
-11,-1,1,4,5
-14,-17,1,2,5
19,-14,1,0,5
19,-11,1,14,5
0,12,1,28,5
-22,-20,1,12,5
-23,4,1,21,5
21,-7,1,8,5
-2,3,1,11,5
11,5,1,6,5
15,7,1,25,6
21,-6,1,8,6
20,-14,1,0,6
10,-16,1,26,6
7,-22,1,18,6
12,4,1,6,6
-13,-17,1,2,6
-16,4,1,1,6
-3,2,1,11,6
-21,10,1,13,6
15,0,1,16,6
1,13,1,28,6
19,-17,1,9,6
-3,21,1,29,6
10,23,1,27,6
-21,-21,1,12,6
14,-3,1,24,6
-24,-19,1,15,6
-25,-25,1,23,6
-13,-5,1,7,6
14,15,1,19,6
-20,23,1,22,6
-17,-5,1,10,6
18,-11,1,14,6
8,-19,1,17,6
-14,20,1,5,6
-9,-5,1,20,6
-24,4,1,21,6
14,21,1,3,6
-12,-1,1,4,6
-24,5,1,21,7
-12,-16,1,2,7
9,22,1,27,7
-3,20,1,29,7
-12,0,1,4,7
13,14,1,19,7
11,-15,1,26,7
-18,-6,1,10,7
-14,19,1,5,7
-13,-6,1,7,7
6,-23,1,18,7
21,-5,1,8,7
7,-19,1,17,7
14,6,1,25,7
-16,5,1,1,7
21,-14,1,0,7
-23,-19,1,15,7
-4,2,1,11,7
12,3,1,6,7
2,13,1,28,7
-21,-22,1,12,7
14,22,1,3,7
-21,23,1,22,7
-10,-4,1,20,7
15,1,1,16,7
17,-11,1,14,7
-24,-24,1,23,7
-22,9,1,13,7
15,-3,1,24,7
20,-17,1,9,7
21,-17,1,9,8
12,14,1,19,8
11,-14,1,26,8
-22,23,1,22,8
16,-3,1,24,8
-17,5,1,1,8
21,-13,1,0,8
-13,0,1,4,8
3,13,1,28,8
-21,-23,1,12,8
14,5,1,25,8
-11,-4,1,20,8
-11,-16,1,2,8
6,-18,1,17,8
-18,-6,1,10,8
-24,6,1,21,8
-4,20,1,29,8
16,-12,1,14,8
-22,-18,1,15,8
13,23,1,3,8
13,3,1,6,8
8,23,1,27,8
14,2,1,16,8
-23,9,1,13,8
5,-23,1,18,8
-24,-23,1,23,8
21,-4,1,8,8
-14,-7,1,7,8
-5,1,1,11,8
-14,18,1,5,8
11,-13,1,26,9
-23,23,1,22,9
22,-18,1,9,9
4,14,1,28,9
-5,20,1,29,9
-21,-24,1,12,9
-14,-8,1,7,9
7,23,1,27,9
-13,18,1,5,9
13,2,1,6,9
21,-12,1,0,9
-5,0,1,11,9
16,-12,1,14,9
17,-2,1,24,9
-25,7,1,21,9
11,14,1,19,9
20,-3,1,8,9
-10,-16,1,2,9
-19,-7,1,10,9
13,24,1,3,9
13,3,1,16,9
-17,6,1,1,9
6,-18,1,17,9
-24,9,1,13,9
5,-24,1,18,9
-14,0,1,4,9
-11,-3,1,20,9
-22,-18,1,15,9
-23,-22,1,23,9
14,4,1,25,9
-22,-17,1,15,10
-26,8,1,21,10
-25,8,1,13,10
10,-13,1,26,10
-21,-25,1,12,10
15,-12,1,14,10
-12,-2,1,20,10
-12,18,1,5,10
5,-25,1,18,10
17,-1,1,24,10
-6,19,1,29,10
5,13,1,28,10
-5,-1,1,11,10
-20,-7,1,10,10
23,-19,1,9,10
14,1,1,6,10
-9,-15,1,2,10
13,3,1,16,10
14,25,1,3,10
6,23,1,27,10
-15,0,1,4,10
21,-11,1,0,10
10,15,1,19,10
5,-17,1,17,10
-13,-9,1,7,10
-22,-22,1,23,10
-24,22,1,22,10
20,-3,1,8,10
-18,7,1,1,10
14,3,1,25,10
-21,-7,1,10,11
6,13,1,28,11
15,3,1,25,11
-19,7,1,1,11
13,25,1,3,11
10,-12,1,26,11
-7,20,1,29,11
-25,22,1,22,11
-21,-24,1,12,11
9,15,1,19,11
-26,9,1,13,11
-16,0,1,4,11
5,23,1,27,11
6,-25,1,18,11
20,-2,1,8,11
14,-12,1,14,11
-25,7,1,21,11
-21,-22,1,23,11
-5,-2,1,11,11
14,0,1,6,11
21,-10,1,0,11
-11,18,1,5,11
-13,-2,1,20,11
18,0,1,24,11
13,4,1,16,11
22,-19,1,9,11
-21,-16,1,15,11
-9,-14,1,2,11
4,-16,1,17,11
-13,-10,1,7,11
-20,-23,1,23,12
14,-1,1,6,12
13,5,1,16,12
-14,-2,1,20,12
13,-12,1,14,12
-17,0,1,4,12
-26,22,1,22,12
3,-16,1,17,12
7,13,1,28,12
4,23,1,27,12
-20,7,1,1,12
-10,18,1,5,12
15,2,1,25,12
-25,9,1,13,12
8,15,1,19,12
-22,-7,1,10,12
12,25,1,3,12
-8,20,1,29,12
10,-11,1,26,12
-6,-2,1,11,12
20,-1,1,8,12
21,-20,1,9,12
-20,-15,1,15,12
-8,-13,1,2,12
20,-9,1,0,12
-21,-23,1,12,12
-24,7,1,21,12
19,0,1,24,12
7,-24,1,18,12
-13,-11,1,7,12
7,15,1,19,13
13,24,1,3,13
2,-15,1,17,13
-19,-23,1,23,13
-14,-11,1,7,13
-23,-8,1,10,13
-7,-3,1,11,13
-18,0,1,4,13
15,-2,1,6,13
-23,6,1,21,13
11,-11,1,26,13
-21,-22,1,12,13
7,-24,1,18,13
20,0,1,8,13
19,-8,1,0,13
14,6,1,16,13
12,-13,1,14,13
-25,23,1,22,13
19,1,1,24,13
-25,10,1,13,13
-9,19,1,5,13
-19,-14,1,15,13
-7,-14,1,2,13
-21,6,1,1,13
8,13,1,28,13
-9,20,1,29,13
-15,-2,1,20,13
20,-21,1,9,13
16,1,1,25,13
4,22,1,27,13
20,-22,1,9,14
-24,-7,1,10,14
1,-15,1,17,14
-19,-14,1,15,14
-16,-3,1,20,14
8,-23,1,18,14
-25,11,1,13,14
-7,-3,1,11,14
-14,-12,1,7,14
9,13,1,28,14
-18,-23,1,23,14
16,0,1,25,14
13,23,1,3,14
-8,19,1,5,14
15,-3,1,6,14
-10,21,1,29,14
20,1,1,24,14
15,6,1,16,14
12,-11,1,26,14
20,1,1,8,14
-20,-21,1,12,14
-6,-14,1,2,14
-22,6,1,1,14
-19,0,1,4,14
11,-13,1,14,14
-22,7,1,21,14
-24,23,1,22,14
3,21,1,27,14
6,15,1,19,14
19,-8,1,0,14
14,23,1,3,15
-16,-4,1,20,15
-10,21,1,29,15
21,2,1,24,15
10,12,1,28,15
-20,0,1,4,15
19,-7,1,0,15
-19,-13,1,15,15
13,-10,1,26,15
-5,-13,1,2,15
10,-14,1,14,15
-24,12,1,13,15
15,-4,1,6,15
3,20,1,27,15
1,-14,1,17,15
-8,20,1,5,15
9,-23,1,18,15
-22,8,1,21,15
6,15,1,19,15
-17,-23,1,23,15
-25,-7,1,10,15
21,-22,1,9,15
-19,-21,1,12,15
-14,-13,1,7,15
-23,24,1,22,15
16,6,1,16,15
16,-1,1,25,15
-22,5,1,1,15
19,2,1,8,15
-8,-4,1,11,15
19,3,1,8,16
21,-23,1,9,16
-18,-12,1,15,16
-25,-6,1,10,16
-23,12,1,13,16
17,-2,1,25,16
-21,8,1,21,16
-7,20,1,5,16
10,12,1,28,16
-16,-23,1,23,16
10,-14,1,14,16
-21,0,1,4,16
-22,24,1,22,16
-17,-4,1,20,16
-11,22,1,29,16
19,-6,1,0,16
3,19,1,27,16
5,14,1,19,16
14,22,1,3,16
-15,-14,1,7,16
10,-22,1,18,16
15,-5,1,6,16
-4,-13,1,2,16
-18,-21,1,12,16
-23,4,1,1,16
1,-13,1,17,16
13,-9,1,26,16
17,7,1,16,16
22,2,1,24,16
-9,-5,1,11,16
20,4,1,8,17
-21,24,1,22,17
-4,-12,1,2,17
-18,-5,1,20,17
-16,-22,1,23,17
-18,-22,1,12,17
23,3,1,24,17
15,-6,1,6,17
11,11,1,28,17
14,-8,1,26,17
-22,1,1,4,17
17,-3,1,25,17
-25,-6,1,10,17
9,-15,1,14,17
17,8,1,16,17
18,-5,1,0,17
-22,11,1,13,17
22,-24,1,9,17
0,-12,1,17,17
-12,23,1,29,17
14,21,1,3,17
4,14,1,19,17
-23,3,1,1,17
-6,21,1,5,17
-10,-5,1,11,17
11,-22,1,18,17
-16,-14,1,7,17
3,18,1,27,17
-17,-11,1,15,17
-20,8,1,21,17
4,17,1,27,18
15,-7,1,6,18
0,-12,1,17,18
-17,-10,1,15,18
-4,-11,1,2,18
-17,-22,1,12,18
-17,-14,1,7,18
24,3,1,24,18
17,9,1,16,18
19,-4,1,0,18
23,-25,1,9,18
12,-22,1,18,18
-16,-21,1,23,18
-20,24,1,22,18
-12,24,1,29,18
3,14,1,19,18
20,5,1,8,18
14,-7,1,26,18
12,10,1,28,18
-24,-6,1,10,18
9,-16,1,14,18
-19,9,1,21,18
18,-4,1,25,18
-5,22,1,5,18
-21,10,1,13,18
-23,0,1,4,18
-19,-6,1,20,18
-10,-6,1,11,18
-23,2,1,1,18
14,20,1,3,18
-19,24,1,22,19
24,-25,1,9,19
-3,-10,1,2,19
9,-17,1,14,19
4,16,1,27,19
19,-3,1,0,19
12,9,1,28,19
14,-6,1,26,19
18,10,1,16,19
20,6,1,8,19
-11,-6,1,11,19
12,-23,1,18,19
-24,-1,1,4,19
-1,-11,1,17,19
-23,-7,1,10,19
-23,1,1,1,19
-16,-22,1,12,19
2,14,1,19,19
25,3,1,24,19
-16,-10,1,15,19
-20,-6,1,20,19
-16,-20,1,23,19
15,-8,1,6,19
-13,24,1,29,19
19,-4,1,25,19
-21,9,1,13,19
13,19,1,3,19
-18,-14,1,7,19
-4,22,1,5,19
-18,10,1,21,19
-18,23,1,22,20
10,-18,1,14,20
18,10,1,16,20
3,15,1,27,20
-19,-13,1,7,20
12,-24,1,18,20
-16,-19,1,23,20
-15,-22,1,12,20
16,-9,1,6,20
18,-2,1,0,20
14,-5,1,26,20
20,-4,1,25,20
21,7,1,8,20
-16,-9,1,15,20
-4,23,1,5,20
-12,-7,1,11,20
-24,-1,1,4,20
25,-25,1,9,20
13,18,1,3,20
-20,-7,1,20,20
1,14,1,19,20
12,8,1,28,20
-21,9,1,13,20
-1,-10,1,17,20
-17,10,1,21,20
-4,-9,1,2,20
24,3,1,24,20
-23,0,1,1,20
-22,-6,1,10,20
-12,24,1,29,20
-17,23,1,22,21
24,-25,1,9,21
18,11,1,16,21
3,14,1,27,21
-20,8,1,13,21
-14,-22,1,12,21
21,-4,1,25,21
-1,-9,1,17,21
0,14,1,19,21
19,-1,1,0,21
-11,23,1,29,21
-21,-6,1,10,21
-15,-19,1,23,21
-13,-8,1,11,21
-21,-8,1,20,21
-25,-1,1,4,21
-16,10,1,21,21
16,-10,1,6,21
-24,0,1,1,21
11,-25,1,18,21
21,8,1,8,21
-15,-8,1,15,21
10,-19,1,14,21
13,17,1,3,21
-3,-9,1,2,21
12,7,1,28,21
14,-4,1,26,21
23,4,1,24,21
-4,24,1,5,21
-20,-13,1,7,21
12,16,1,3,22
11,-25,1,18,22
22,5,1,24,22
-20,-6,1,10,22
-20,7,1,13,22
-1,15,1,19,22
16,-11,1,6,22
13,7,1,28,22
-20,-12,1,7,22
19,11,1,16,22
23,-25,1,9,22
-15,-18,1,23,22
-24,-2,1,4,22
-2,-8,1,17,22
9,-20,1,14,22
13,-3,1,26,22
-13,-9,1,11,22
-2,-8,1,2,22
3,13,1,27,22
-13,-22,1,12,22
-21,-9,1,20,22
19,0,1,0,22
-25,-1,1,1,22
-15,10,1,21,22
-17,24,1,22,22
22,9,1,8,22
-10,23,1,29,22
-14,-9,1,15,22
-5,23,1,5,22
21,-3,1,25,22
-13,-9,1,15,23
20,11,1,16,23
-21,-10,1,20,23
-12,-21,1,12,23
-15,-17,1,23,23
10,-25,1,18,23
-21,-11,1,7,23
17,-11,1,6,23
12,15,1,3,23
22,-25,1,9,23
-26,-1,1,1,23
-24,-3,1,4,23
-16,24,1,22,23
18,1,1,0,23
22,9,1,8,23
-2,-7,1,2,23
-9,23,1,29,23
-20,-7,1,10,23
-19,6,1,13,23
22,-2,1,25,23
-1,15,1,19,23
14,7,1,28,23
-5,22,1,5,23
-2,-7,1,17,23
9,-21,1,14,23
13,-3,1,26,23
-13,-10,1,11,23
3,13,1,27,23
-14,10,1,21,23
22,5,1,24,23
-2,16,1,19,24
10,-22,1,14,24
-20,-8,1,10,24
23,-2,1,25,24
-2,-6,1,17,24
21,6,1,24,24
-4,21,1,5,24
21,-24,1,9,24
-14,-11,1,11,24
9,-25,1,18,24
-13,9,1,21,24
23,10,1,8,24
-23,-3,1,4,24
12,14,1,3,24
-25,-1,1,1,24
17,-12,1,6,24
21,11,1,16,24
-14,-16,1,23,24
-15,23,1,22,24
-12,-9,1,15,24
-8,23,1,29,24
15,6,1,28,24
-11,-21,1,12,24
-21,-10,1,7,24
19,2,1,0,24
4,12,1,27,24
12,-3,1,26,24
-20,5,1,13,24
-2,-6,1,2,24
-21,-11,1,20,24
-24,-1,1,1,25
11,-3,1,26,25
-13,-12,1,11,25
20,-23,1,9,25
4,11,1,27,25
16,6,1,28,25
-12,-10,1,15,25
11,13,1,3,25
-22,-4,1,4,25
23,11,1,8,25
20,7,1,24,25
-14,-15,1,23,25
-21,5,1,13,25
24,-1,1,25,25
9,-23,1,14,25
-3,16,1,19,25
-7,23,1,29,25
17,-13,1,6,25
-3,-5,1,17,25
-1,-5,1,2,25
18,3,1,0,25
-10,-21,1,12,25
-14,22,1,22,25
-13,8,1,21,25
-3,21,1,5,25
-22,-11,1,20,25
-20,-9,1,10,25
-21,-9,1,7,25
8,-25,1,18,25
22,11,1,16,25
10,-3,1,26,26
-9,-20,1,12,26
-13,-12,1,11,26
-14,22,1,22,26
-22,-12,1,20,26
-3,-5,1,17,26
-21,-8,1,7,26
-13,8,1,21,26
-23,-1,1,1,26
4,10,1,27,26
-12,-11,1,15,26
-22,-5,1,4,26
-19,-10,1,10,26
18,-14,1,6,26
17,6,1,28,26
0,-5,1,2,26
20,-22,1,9,26
-22,4,1,13,26
-7,24,1,29,26
20,8,1,24,26
7,-25,1,18,26
-2,21,1,5,26
10,-24,1,14,26
-13,-14,1,23,26
23,11,1,16,26
18,4,1,0,26
24,0,1,25,26
24,11,1,8,26
11,12,1,3,26
-4,16,1,19,26
20,9,1,24,27
-13,-13,1,23,27
1,-4,1,2,27
-12,7,1,21,27
-4,-5,1,17,27
-13,21,1,22,27
-22,-1,1,1,27
24,11,1,16,27
-5,16,1,19,27
-8,-20,1,12,27
-23,-13,1,20,27
6,-25,1,18,27
10,-25,1,14,27
-22,3,1,13,27
24,-1,1,25,27
-20,-7,1,7,27
-22,-6,1,4,27
19,-15,1,6,27
24,11,1,8,27
-1,21,1,5,27
4,9,1,27,27
-12,-12,1,15,27
19,-22,1,9,27
11,11,1,3,27
17,4,1,0,27
9,-3,1,26,27
18,5,1,28,27
-8,24,1,29,27
-19,-11,1,10,27
-13,-13,1,11,27
-19,-12,1,10,28
10,-26,1,14,28
5,8,1,27,28
-9,23,1,29,28
12,10,1,3,28
19,-21,1,9,28
23,10,1,8,28
19,10,1,24,28
-23,3,1,13,28
0,21,1,5,28
19,5,1,28,28
-6,17,1,19,28
-21,-6,1,4,28
-11,8,1,21,28
7,-25,1,18,28
-13,-14,1,11,28
16,5,1,0,28
23,-1,1,25,28
8,-4,1,26,28
24,11,1,16,28
-20,-6,1,7,28
1,-3,1,2,28
-12,-13,1,23,28
-13,20,1,22,28
19,-15,1,6,28
-8,-21,1,12,28
-12,-13,1,15,28
-23,-14,1,20,28
-5,-5,1,17,28
-21,-2,1,1,28
22,-1,1,25,29
23,12,1,16,29
-6,-4,1,17,29
0,20,1,5,29
-24,-15,1,20,29
-13,19,1,22,29
-18,-13,1,10,29
-7,17,1,19,29
-11,-14,1,15,29
-7,-21,1,12,29
8,-5,1,26,29
15,6,1,0,29
-12,-12,1,23,29
-20,-7,1,4,29
-10,8,1,21,29
-20,-2,1,1,29
4,7,1,27,29
18,-21,1,9,29
-20,-6,1,7,29
1,-2,1,2,29
-24,2,1,13,29
7,-24,1,18,29
-13,-15,1,11,29
12,10,1,3,29
22,10,1,8,29
9,-25,1,14,29
20,5,1,28,29
20,-15,1,6,29
-10,23,1,29,29
19,11,1,24,29
1,20,1,5,30
-24,1,1,13,30
12,9,1,3,30
7,-23,1,18,30
19,12,1,24,30
-13,-16,1,11,30
21,-15,1,6,30
-14,18,1,22,30
23,13,1,16,30
14,6,1,0,30
-7,-3,1,17,30
-19,-2,1,1,30
-11,-11,1,23,30
21,5,1,28,30
-10,22,1,29,30
4,6,1,27,30
-6,-21,1,12,30
-9,8,1,21,30
-20,-5,1,7,30
1,-1,1,2,30
17,-21,1,9,30
-11,-15,1,15,30
-20,-8,1,4,30
21,9,1,8,30
-25,-15,1,20,30
7,-6,1,26,30
-8,17,1,19,30
-18,-14,1,10,30
9,-24,1,14,30
21,-1,1,25,30
-20,-4,1,7,31
6,-6,1,26,31
21,4,1,28,31
20,9,1,8,31
1,0,1,2,31
-11,-10,1,23,31
20,0,1,25,31
-25,-16,1,20,31
-10,-16,1,15,31
8,-23,1,14,31
16,-22,1,9,31
7,-22,1,18,31
-14,17,1,22,31
-25,1,1,13,31
2,19,1,5,31
-8,-3,1,17,31
-8,7,1,21,31
4,5,1,27,31
13,5,1,0,31
-9,17,1,19,31
19,13,1,24,31
22,-15,1,6,31
-18,-2,1,1,31
22,14,1,16,31
12,8,1,3,31
-11,21,1,29,31
-18,-15,1,10,31
-5,-20,1,12,31
-20,-9,1,4,31
-13,-17,1,11,31
6,-22,1,18,32
22,15,1,16,32
-14,16,1,22,32
-10,16,1,19,32
15,-21,1,9,32
-12,-18,1,11,32
20,8,1,8,32
3,18,1,5,32
19,0,1,25,32
-12,21,1,29,32
8,-22,1,14,32
-10,-17,1,15,32
-20,-3,1,7,32
-7,7,1,21,32
-24,1,1,13,32
23,-14,1,6,32
5,-7,1,26,32
-20,-10,1,4,32
-17,-16,1,10,32
1,1,1,2,32
-10,-9,1,23,32
-9,-2,1,17,32
-24,-17,1,20,32
20,14,1,24,32
3,5,1,27,32
13,6,1,0,32
-5,-19,1,12,32
20,3,1,28,32
-17,-3,1,1,32
12,7,1,3,32
-12,-19,1,11,33
-23,1,1,13,33
-11,16,1,19,33
-6,7,1,21,33
18,1,1,25,33
-21,-2,1,7,33
-17,-16,1,10,33
-9,-2,1,17,33
23,16,1,16,33
19,7,1,8,33
-10,-8,1,23,33
23,-13,1,6,33
20,15,1,24,33
4,19,1,5,33
-17,-4,1,1,33
12,6,1,3,33
8,-21,1,14,33
-13,20,1,29,33
2,4,1,27,33
-4,-19,1,12,33
20,2,1,28,33
-20,-11,1,4,33
-13,15,1,22,33
5,-8,1,26,33
-24,-18,1,20,33
-11,-18,1,15,33
1,2,1,2,33
6,-21,1,18,33
14,-21,1,9,33
12,6,1,0,33
5,-20,1,18,34
1,3,1,2,34
11,6,1,0,34
-22,1,1,13,34
5,18,1,5,34
-16,-4,1,1,34
19,1,1,28,34
20,16,1,24,34
8,-20,1,14,34
5,-9,1,26,34
-10,-7,1,23,34
1,3,1,27,34
23,17,1,16,34
17,2,1,25,34
-23,-19,1,20,34
-12,16,1,19,34
-10,-1,1,17,34
-6,6,1,21,34
-10,-19,1,15,34
-3,-18,1,12,34
-16,-17,1,10,34
-21,-1,1,7,34
-14,20,1,29,34
-11,-20,1,11,34
-20,-12,1,4,34
-13,14,1,22,34
13,-21,1,9,34
12,5,1,3,34
18,7,1,8,34
23,-12,1,6,34
12,-20,1,9,35
0,4,1,2,35
22,-11,1,6,35
10,5,1,0,35
-22,-19,1,20,35
12,4,1,3,35
19,0,1,28,35
-3,-17,1,12,35
-16,-5,1,1,35
-20,-13,1,4,35
-14,13,1,22,35
1,2,1,27,35
-21,1,1,13,35
-11,-1,1,17,35
-22,0,1,7,35
-5,5,1,21,35
8,-20,1,14,35
-16,-18,1,10,35
-11,-21,1,11,35
17,2,1,25,35
-14,19,1,29,35
17,6,1,8,35
20,16,1,24,35
24,18,1,16,35
6,18,1,5,35
-9,-7,1,23,35
5,-19,1,18,35
-13,16,1,19,35
5,-10,1,26,35
-11,-20,1,15,35
13,3,1,3,36
9,5,1,0,36
-13,12,1,22,36
0,2,1,27,36
-11,-21,1,15,36
22,-10,1,6,36
19,17,1,24,36
-15,-6,1,1,36
-20,1,1,13,36
6,17,1,5,36
-12,-1,1,17,36
-15,-18,1,10,36
-21,-19,1,20,36
-22,1,1,7,36
18,-1,1,28,36
17,5,1,8,36
-15,19,1,29,36
5,-11,1,26,36
24,18,1,16,36
-14,16,1,19,36
-2,-17,1,12,36
-10,-21,1,11,36
-8,-6,1,23,36
-5,4,1,21,36
-20,-14,1,4,36
-1,5,1,2,36
8,-19,1,14,36
11,-20,1,9,36
16,2,1,25,36
4,-19,1,18,36
-13,-1,1,17,37
15,2,1,25,37
-2,5,1,2,37
13,2,1,3,37
-9,-22,1,11,37
25,17,1,16,37
10,-20,1,9,37
17,-1,1,28,37
-23,2,1,7,37
7,-18,1,14,37
22,-9,1,6,37
-1,1,1,27,37
20,18,1,24,37
5,-12,1,26,37
-14,17,1,19,37
-19,1,1,13,37
7,18,1,5,37
-4,3,1,21,37
8,5,1,0,37
-16,19,1,29,37
-14,-19,1,10,37
-1,-17,1,12,37
-20,-20,1,20,37
-7,-6,1,23,37
-12,12,1,22,37
-14,-7,1,1,37
3,-19,1,18,37
-21,-14,1,4,37
16,5,1,8,37
-11,-22,1,15,37
-12,-23,1,15,38
-18,2,1,13,38
8,18,1,5,38
0,-18,1,12,38
4,-13,1,26,38
24,18,1,16,38
-19,-19,1,20,38
14,2,1,25,38
-15,18,1,19,38
-9,-23,1,11,38
-12,11,1,22,38
20,19,1,24,38
-13,-19,1,10,38
7,4,1,0,38
6,-17,1,14,38
23,-8,1,6,38
-22,-15,1,4,38
-3,5,1,2,38
-14,-2,1,17,38
14,2,1,3,38
2,-19,1,18,38
-23,2,1,7,38
-17,19,1,29,38
16,-1,1,28,38
-4,2,1,21,38
15,4,1,8,38
-14,-7,1,1,38
9,-21,1,9,38
-6,-5,1,23,38
-1,0,1,27,38
-13,-8,1,1,39
-8,-23,1,11,39
-4,5,1,2,39
-24,3,1,7,39
-22,-16,1,4,39
-14,-3,1,17,39
-18,19,1,29,39
1,-18,1,18,39
-16,18,1,19,39
15,2,1,3,39
8,-20,1,9,39
5,-17,1,14,39
-13,-20,1,10,39
15,-1,1,28,39
4,-14,1,26,39
-19,-19,1,20,39
24,19,1,16,39
-2,0,1,27,39
1,-19,1,12,39
9,19,1,5,39
-5,-5,1,23,39
6,4,1,0,39
-12,10,1,22,39
-17,2,1,13,39
-4,1,1,21,39
14,4,1,8,39
-12,-24,1,15,39
23,-7,1,6,39
13,1,1,25,39
21,20,1,24,39
4,-16,1,14,40
2,-19,1,12,40
23,-6,1,6,40
-17,19,1,19,40
-11,-25,1,15,40
16,3,1,3,40
24,20,1,16,40
-12,9,1,22,40
-13,-9,1,1,40
-4,0,1,21,40
8,-20,1,9,40
-5,5,1,2,40
-25,4,1,7,40
13,4,1,8,40
-18,-18,1,20,40
-5,-4,1,23,40
12,1,1,25,40
-23,-16,1,4,40
4,-15,1,26,40
10,19,1,5,40
-15,-3,1,17,40
6,3,1,0,40
15,-2,1,28,40
-12,-21,1,10,40
22,20,1,24,40
-19,19,1,29,40
-7,-24,1,11,40
0,-18,1,18,40
-3,-1,1,27,40
-16,2,1,13,40
-17,-18,1,20,41
12,4,1,8,41
-24,-17,1,4,41
-26,4,1,7,41
-1,-18,1,18,41
-4,-1,1,27,41
17,3,1,3,41
24,20,1,16,41
-11,-21,1,10,41
11,1,1,25,41
-7,-25,1,11,41
-18,19,1,19,41
-4,-1,1,21,41
-11,-26,1,15,41
-20,19,1,29,41
7,-19,1,9,41
-4,-3,1,23,41
2,-20,1,12,41
-12,-10,1,1,41
-6,5,1,2,41
4,-16,1,14,41
7,2,1,0,41
14,-3,1,28,41
24,-6,1,6,41
-16,3,1,13,41
3,-15,1,26,41
22,21,1,24,41
-15,-4,1,17,41
10,20,1,5,41
-12,8,1,22,41
-3,-3,1,23,42
-15,3,1,13,42
11,20,1,5,42
23,22,1,24,42
-25,4,1,7,42
